param,ROI,hemi,ROIs_set,stream,nVox_boot,nBoot,KS_original,KS_effect_mean,KS_effect_CI_low,KS_effect_CI_high,KS_boot_std,p_value_KS_bootstrap,p_value_KS_CI_low,p_value_KS_CI_high,p_thresh_stream,sig_stream_corrected
X,lh.pFus_faces_toon.mat,lh,toon,ventral,156,10000,0.292161208103007,0.314030128205127,0.217948717948718,0.41025641025641,0.0497828963417875,0.00734926507349265,0.00577059138639553,0.00911438796682613,0.0038,0
X,lh.pOTS_words_toon.mat,lh,toon,ventral,364,10000,0.041914630289872,0.0812670329670332,0.0494505494505495,0.129120879120879,0.0201912439431294,0.979052094790521,0.976155962507404,0.981766808426486,0.0038,0
X,lh.pSTS_faces_adultAvg_probMap_toonCat.mat,lh,adultAvg_probMap_toonCat,lateraldorsal,50,10000,0.133632685852007,0.200026000000002,0.1,0.34,0.0638132160030632,0.97985201479852,0.977008739739101,0.982513570763104,0.0042,0
X,rh.CoS_places_toon.mat,rh,toon,ventral,332,10000,0.0856841382406007,0.107082831325301,0.0572289156626506,0.171686746987952,0.0303352121256453,0.831966803319668,0.824576793226361,0.839231058769858,0.0038,0
X,rh.IOG_faces_toon_JC.mat,rh,toon_JC,ventral,169,10000,0.0894273506219054,0.124528402366864,0.0650887573964497,0.207100591715976,0.0377414225728647,0.947655234476552,0.943206341605771,0.951934563841696,0.0038,0
X,rh.IPS_places_toon_JC.mat,rh,toon_JC,lateraldorsal,489,10000,0.154338344191152,0.171591206543967,0.118609406952965,0.226993865030675,0.0279000667232962,0.0135486451354865,0.0113765536693994,0.0159049226897105,0.0042,0
X,rh.ITG_limbs_toon_JC.mat,rh,toon_JC,lateraldorsal,251,10000,0.0432806809223376,0.0852346613545823,0.0438247011952191,0.151394422310757,0.0279409469563792,0.97965203479652,0.976795441847545,0.982326983743457,0.0042,0
X,rh.LOS_limbs_toon_JC.mat,rh,toon_JC,lateraldorsal,469,10000,0.0583340626004564,0.0857226012793177,0.0405117270788913,0.138592750533049,0.0254071123788911,0.862263773622638,0.855441752524847,0.868948564322845,0.0042,0
X,rh.MOG_places_toon_JC.mat,rh,toon_JC,lateraldorsal,571,10000,0.0565311719868594,0.0765504378283714,0.0455341506129597,0.119089316987741,0.0187443098946948,0.903759624037596,0.897903892766424,0.909462409110333,0.0042,0
X,rh.MTG_limbs_adultAvg_probMap_toonCat.mat,rh,adultAvg_probMap_toonCat,lateraldorsal,258,10000,0.109070751798749,0.131320930232558,0.0775193798449613,0.193798449612403,0.0299972909654868,0.771472852714729,0.763192976315603,0.779649889507384,0.0042,0
X,rh.OTS_bodies_toon.mat,rh,toon,ventral,91,10000,0.0833197077819604,0.141390109890111,0.076923076923077,0.230769230769231,0.0373950017446919,0.995550444955504,0.994154933887873,0.996758530626976,0.0038,0
X,rh.mFus_faces_toon.mat,rh,toon,ventral,156,10000,0.0809194872975669,0.127489743589744,0.0705128205128205,0.211538461538462,0.0355470656198274,0.954554544545545,0.95038743927006,0.958549476571349,0.0038,0
X,rh.mOTS_words_toon.mat,rh,toon,ventral,50,10000,0.289256505576208,0.334564,0.2,0.5,0.0773196465122133,0.598490150984902,0.588864855655304,0.608078135775675,0.0038,0
X,rh.pFus_faces_toon.mat,rh,toon,ventral,224,10000,0.0836991466381478,0.110670982142857,0.0625,0.174107142857143,0.0295015635865564,0.96045395460454,0.956548186712746,0.964185318821864,0.0038,0
X,rh.pOTS_words_toon.mat,rh,toon,ventral,101,10000,0.0826734646560517,0.149266336633663,0.0792079207920792,0.247524752475247,0.042533464970933,0.973452654734527,0.970213573240658,0.976512425091202,0.0038,0
X,rh.pSTS_faces_adultAvg_probMap_toonCat.mat,rh,adultAvg_probMap_toonCat,lateraldorsal,50,10000,0.0864744582043344,0.183026000000002,0.1,0.32,0.0550096894246191,0.992850714928507,0.991108349292601,0.994406560833254,0.0042,0
Y,lh.CoS_places_toon.mat,lh,toon,ventral,204,10000,0.0932935002470148,0.124129901960784,0.0588235294117647,0.205882352941177,0.039488628329034,0.885561443855614,0.879250081378096,0.891726751985302,0.0038,0
Y,lh.IOG_faces_toon_JC.mat,lh,toon_JC,ventral,62,10000,0.177757994154904,0.208837096774194,0.112903225806452,0.32258064516129,0.0557261666295508,0.961453854614539,0.957594541769216,0.965138385883252,0.0038,0
Y,lh.IPS_places_toon_JC.mat,lh,toon_JC,lateraldorsal,372,10000,0.0385270843493184,0.0741776881720428,0.0430107526881721,0.118279569892473,0.0190375274823038,0.988551144885511,0.986375347067387,0.990541979682564,0.0042,0
Y,lh.ITG_limbs_toon_JC.mat,lh,toon_JC,lateraldorsal,226,10000,0.15463454276017,0.179471238938049,0.106194690265487,0.258849557522124,0.0391854526056417,0.338616138386161,0.329372550812579,0.347920862079679,0.0042,0
Y,lh.LOS_limbs_toon_JC.mat,lh,toon_JC,lateraldorsal,351,10000,0.117920012789922,0.137568660968661,0.0712250712250713,0.205128205128205,0.0338743440450886,0.445705429457054,0.435975025795203,0.455456401280486,0.0042,0
Y,lh.MOG_places_toon_JC.mat,lh,toon_JC,lateraldorsal,500,10000,0.0669842108280307,0.0882366000000009,0.042,0.143,0.0260934111808079,0.80956904309569,0.801815883465858,0.817204932170626,0.0042,0
Y,lh.MTG_limbs_adultAvg_probMap_toonCat.mat,lh,adultAvg_probMap_toonCat,lateraldorsal,205,10000,0.143089866447842,0.166471707317073,0.102439024390244,0.24390243902439,0.0369153167050444,0.596990300969903,0.587359430524088,0.606584429056346,0.0042,0
Y,lh.OTS_bodies_toon.mat,lh,toon,ventral,52,10000,0.224850685541447,0.271940384615384,0.115384615384615,0.442307692307692,0.0829764994018951,0.777872212778722,0.76967358301323,0.7859655788134,0.0038,0
Y,lh.mFus_faces_toon.mat,lh,toon,ventral,124,10000,0.424938011741346,0.446562903225808,0.338709677419355,0.556451612903226,0.0544717536777046,4.999500049995e-05,4.91022270835823e-08,0.000251156484382057,0.0038,1
Y,lh.mOTS_words_toon.mat,lh,toon,ventral,71,10000,0.270850106559318,0.3290661971831,0.211267605633803,0.450704225352113,0.0639921740011861,0.269123087691231,0.260475433158061,0.277858203607722,0.0038,0
Y,lh.pFus_faces_toon.mat,lh,toon,ventral,156,10000,0.0876327904446399,0.133669871794872,0.0641025641025641,0.224358974358974,0.0415333873148045,0.919258074192581,0.913840062542446,0.924517271010765,0.0038,0
Y,lh.pOTS_words_toon.mat,lh,toon,ventral,364,10000,0.0372368811362044,0.0725392857142861,0.0384615384615385,0.123626373626374,0.022305667936041,0.985351464853515,0.982906479585639,0.987612673124679,0.0038,0
Y,lh.pSTS_faces_adultAvg_probMap_toonCat.mat,lh,adultAvg_probMap_toonCat,lateraldorsal,50,10000,0.346024732447709,0.37491,0.2,0.54,0.0877784848709554,0.392810718928107,0.383260216035607,0.402401827798925,0.0042,0
Y,rh.CoS_places_toon.mat,rh,toon,ventral,332,10000,0.0789482108502868,0.103344578313253,0.0512048192771085,0.16566265060241,0.0297705304404992,0.863063693630637,0.856258039931677,0.869731813952438,0.0038,0
